idCompania,nombre,ubicacionC
039a271057a746,TERMOELECTRICA EL TESORITO S.A.S E.S.P (CLS-CO10),48a88024ab874a
6b1788a7a2c74b,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),bf7c681d82ea47
4c99a66fbb8642,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),99b7623f041645
863fccbe60bb45,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),48a88024ab874a
f524fcecfcb942,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),444369618f374a
7a15bc4f533744,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),6691fccbbe4b4e
1a5366641aba47,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),e77aef3f112845
6789935b9e7142,CELSIA HONDURAS S.A. (CLS-HN01),bc44712c85ef4b
6d9a7e2110cd44,PEG S.A. (CLS-CR02),8854a5043a8d46
fae9042965ff49,CELSIA HONDURAS S.A. (CLS-HN01),5ce49c0ac65040
18bea97de17140,PEG S.A. (CLS-CR02),ce580d0bbbde43
fa490d28efd249,"BLM, CORP (CLS-PA01)",1aed7b83bd7343
dfabec3f4fba41,CELSIA CENTROAMERICA S.A. (CLS-PA02),fb9fd780a52c46
46aead5cfb8d41,CELSIA HONDURAS S.A. (CLS-HN01),
94c793284def44,CELSIA HONDURAS S.A. (CLS-HN01),a6ff660b500c4b
11222f03574f46,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),afcb1f2c8bb14a
b12ee378c3764c,CELSIA HONDURAS S.A. (CLS-HN01),67a3834b21f942
ff4aad6e447d47,ZFC S.A. E.S.P. (CLS-CO02),1049067df26942
f91e53a4d4e345,JUNTA DIRECTIVA CLS,69da6245745844
8c9859238ec246,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),7225fc0ceaab4e
eb7c2a1e2c324a,EPSA E.S.P. (CLS-CO07),1049067df26942
63f3472c591841,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),67c8b18bb64342
3ee7e22a189244,CELSIA S.A (CLS-CO01),58168887354e4a
c689a255162a4b,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),24722ed420e741
dd31311d1ceb40,EPSA E.S.P. (CLS-CO07),245f49ca192b4d
d83a48c1415f4c,EPSA E.S.P. (CLS-CO07),4185a1fdb58c44
f65fdf1f15c74d,CETSA E.S.P. (CLS-CO06),0f1f5534d8884c
1caddf98088b46,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),51a09f2978f04a
cab412a9931d40,CELSIA S.A (CLS-CO01),7d5134e5623b42
0adfc92354db4f,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),da02a8b2464049
1b6355409b8142,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),4933f72a693640
ad1bbfc9c8b34b,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),5eef31bc6d2349
a501d1b278ce48,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),247a6302ab544f
081847704db149,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),83fe24aee33948
956cd8d16c204f,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),952a4ea6738f4d
e455cb1c40e946,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),caa53f73411b4b
38daab8c12374a,CETSA E.S.P. (CLS-CO06),04efe1f6ec0546
5d09af768f1646,CETSA E.S.P. (CLS-CO06),2af99517aa9f45
0805dba752444e,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),77be9fe6550448
0f6e58f4884840,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),cf26e5e5369147
4e0b91a9454746,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),ca476982b38c41
9945507bb26249,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),7d5134e5623b42
c076776b82014f,CETSA E.S.P. (CLS-CO06),f8c085380f2744
f549c8278d3242,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),39aba0b19cd147
893be642318847,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),7ba85ae1528148
b28c11d7e6c145,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),458802140e3541
00f3202e684349,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),aec13de7b16947
d598c89438cd44,CETSA E.S.P. (CLS-CO06),49c9f809bbd04a
4b644898235946,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),88cb2ff4d4004d
62f3613c50914c,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),82b1e7f4017e48
dc48135d73174b,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),776f864086f548
3226f7f16bc845,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),0a9f61fac4744b
1742eaaacabb4c,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),dd8e5d8184d34c
0926227941424f,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),a52928a813d945
3735e5b042f442,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),f9dbf4ecfe2444
37c1158d2ea04f,CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07),c7c77fa2f6fd41
da3ba7d4879c46,CELSIA S.A (CLS-CO01),995d5bd9e75942
